,name,id
0,Line Henriette Hjemdal (KrF),LHH
1,Statsråd Anne Enger Lahnstein,AEL
2,Statsråd Karita Bekkemellem Orheim,KBO
3,Line Henriette Hjemdal,LHH
4,Carl. I. Hagen (Frp),CIH
5,Statsråd Sponheim,LS
6,Kenneth Svendsen h,KES
7,Line Henriette Holten Hjemdal  (KrF)  ,LHH
8,Frank J. Jensen (H),FBJ
9,Gjermund Hagesæther (FrP),GJH
10,Presidenten: Jorunn Ringstad,JR
11,Nils. T. Bjørke,NITB
12,Nils. T. Bjørke,NITB
13,Hill- Marta Solberg (A),HMS
14,Hilde  Magnusson  Lydvo  (A)  ,HML
15,Line Henriette Hjemdal (Krf),LHH
16,Torbjørn Anderen (Frp),TOA
17,Anne Enger Lahnstein,AEL
18,Ola. T. Lånke,OTL
19,Ola. T. Lånke,OTL
20,Øivind Vaksdal (FrP),OVA
21,Øivind Vaksdal (FrP),OVA
22,Line Henriette Hjemdal ,LHH
23,Torbjørn Jagland (A),TJ
24,Hans-Andreas Limi,HLI
25,Hans-Andreas Limi,HLI
26,Statsråd Ketil Solvik Olsen,KETS
27,Statsråd Einar Dørum,ODD
28,Hans Kristian Hognes (H),HKH
29,Anna Ceselie Brustad (Sp),ANCB
30,Jostein Zazzera (Frp),ODZA
31,Statstråd Anne Enger Lahnstein,AEL
32,Geir Ketil Hansen,GEHN
33,Nils T.Bjørke,NITB
34,Statsråd Angelsen,PAN
35,Harald. T. Nesvik (FrP),HTN
36,Morten Vold,MOST
